season,player,pos,w_pct,ast,reb,blk,stl,fg3a
2014-15,Aaron Brooks,G,0.61,5,3.2,0.3,1,6
2014-15,Aaron Gordon,F,0.298,1.5,7.6,1,0.9,2.2
2014-15,Adreian Payne,F,0.219,1.5,7.9,0.4,0.9,0.4
2014-15,Al Horford,C,0.737,3.8,8.4,1.5,1.1,0.6
2014-15,Al Jefferson,C,0.385,2,9.9,1.5,0.8,0.1
2014-15,Al-Farouq Aminu,F,0.608,1.6,9,1.6,1.8,3.3
2014-15,Alan Anderson,F,0.473,1.7,4.2,0.1,1.2,4.3
2014-15,Alec Burks,G,0.333,3.3,4.6,0.2,0.7,2.7
2014-15,Alex Len,C,0.507,0.8,10.8,2.5,0.8,0.1
2014-15,Alexis Ajinca,C,0.603,1.8,11.9,1.9,0.8,0
2014-15,Allen Crabbe,G,0.706,2.1,3.8,0.8,1,4.5
2014-15,Alonzo Gee,F,0.389,1.4,5.1,0.4,1.9,1.9
2014-15,Amar'e Stoudemire,F,0.322,1.3,9.5,1.1,0.8,0.1
2014-15,Amir Johnson,F,0.587,2.1,8.3,1.1,0.8,0.8
2014-15,Anderson Varejao,F,0.615,2,9.6,0.9,1.1,0.1
2014-15,Andre Drummond,C,0.39,0.8,15.9,2.2,1.1,0
2014-15,Andre Iguodala,G,0.831,4,4.5,0.4,1.5,3.7
2014-15,Andre Miller,G,0.543,8.2,4.4,0.2,0.9,1
2014-15,Andre Roberson,G,0.612,2,7.1,0.8,1.5,2.4
2014-15,Andrew Bogut,C,0.866,4.1,12.4,2.6,0.9,0
2014-15,Andrew Nicholson,F,0.35,1.6,6,0.9,0.4,3
2014-15,Andrew Wiggins,G,0.195,2.1,4.5,0.6,1,1.5
2014-15,Anthony Davis,F,0.574,2.2,10.2,2.9,1.5,0.2
2014-15,Anthony Morrow,G,0.568,1.2,3.9,0.2,1.1,6.5
2014-15,Anthony Tolliver,F,0.474,1.5,5.9,0.4,0.6,7.3
2014-15,Archie Goodwin,G,0.39,3,5,0.6,1.2,2.8
2014-15,Aron Baynes,C,0.7,1.1,10.2,0.7,0.5,0.1
2014-15,Arron Afflalo,G,0.449,1.9,3.6,0.1,0.6,4.8
2014-15,Austin Rivers,G,0.605,3.6,3.5,0.3,1.1,3
2014-15,Avery Bradley,G,0.481,2,3.6,0.2,1.2,5.2
2014-15,Ben McLemore,G,0.354,1.9,3.2,0.3,1,5.3
2014-15,Bismack Biyombo,C,0.406,0.5,11.8,2.9,0.5,0
2014-15,Blake Griffin,F,0.701,5.4,7.8,0.5,1,0.4
2014-15,Bojan Bogdanovic,G,0.462,1.3,4.1,0.2,0.7,5
2014-15,Boris Diaw,C,0.679,4.2,6.3,0.4,0.7,3.1
2014-15,Bradley Beal,G,0.587,3.3,4.1,0.3,1.3,4.4
2014-15,Brandan Wright,F,0.493,1,8,2.3,1.2,0.1
2014-15,Brandon Bass,F,0.488,1.9,7.4,0.6,0.8,0.6
2014-15,Brandon Jennings,G,0.415,8.3,3.2,0.1,1.4,6.5
2014-15,Brandon Knight,G,0.524,5.8,4.3,0.2,1.6,5.7
2014-15,Brandon Rush,F,0.818,1.6,5.4,1.6,0.7,3.6
2014-15,Brian Roberts,G,0.417,4.4,3,0.2,0.9,5.2
2014-15,Brook Lopez,C,0.472,0.9,9.2,2.2,0.7,0.2
2014-15,Bruno Caboclo,F,0.875,0,3.1,1.5,0,4.6
2014-15,Bryce Cotton,G,0.6,3.4,4.1,0,0.9,4.5
2014-15,CJ McCollum,G,0.597,2.4,3.4,0.3,1.6,5.1
2014-15,CJ Miles,F,0.443,1.5,4.2,0.5,1.2,8.7
2014-15,C.J. Watson,G,0.439,5.3,4.1,0.2,1.4,4.4
2014-15,CJ Wilcox,G,0.714,2.9,2.5,0.4,1.1,6.8
2014-15,Cameron Bairstow,F,0.667,0.6,4.5,0.6,1.1,0
2014-15,Carl Landry,F,0.371,0.8,8.1,0.5,0.5,0
2014-15,Carmelo Anthony,F,0.25,3.1,6.7,0.4,1,4.5
2014-15,Caron Butler,F,0.385,1.8,4.3,0.1,1,4.9
2014-15,Chandler Parsons,F,0.621,2.7,5.3,0.3,1.1,5.7
2014-15,Channing Frye,F,0.307,1.8,5.6,0.8,0.9,6.7
2014-15,Charlie Villanueva,F,0.578,1,7.9,1.2,0.8,11.7
2014-15,Chase Budinger,F,0.119,1.8,5.5,0.3,1.2,4
2014-15,Chris Andersen,F,0.45,1.4,9.5,1.9,0.8,0.4
2014-15,Chris Bosh,F,0.432,2.2,7.2,0.6,0.9,3.9
2014-15,Chris Johnson,F,0.31,1,3.8,0.5,1.8,6.5
2014-15,Chris Kaman,C,0.635,1.7,12.5,1.4,0.5,0
2014-15,Chris Paul,G,0.683,10.6,4.7,0.2,2,4.4
2014-15,Cleanthony Early,F,0.154,2,5.4,0.7,1.3,4.7
2014-15,Clint Capela,F,0.667,0.8,14.5,3.6,0.4,0
2014-15,Cody Zeller,C,0.435,2.4,8.8,1.2,0.8,0
2014-15,Cole Aldrich,C,0.18,2.8,12.5,2.4,1.4,0
2014-15,Corey Brewer,G,0.525,3,5.1,0.3,1.9,4.1
2014-15,Cory Joseph,G,0.671,4.7,4.8,0.4,1.1,1.1
2014-15,Courtney Lee,G,0.662,2.3,2.7,0.2,1.1,3.4
2014-15,D.J. Augustin,G,0.451,6.5,3,0.1,0.9,4.5
2014-15,Dahntay Jones,G,0.697,0.6,3.2,0,0.9,1.2
2014-15,Damian Lillard,G,0.622,6.2,4.7,0.3,1.2,7
2014-15,Damjan Rudez,F,0.412,1.8,1.6,0.2,0.5,5.8
2014-15,Danilo Gallinari,F,0.39,2.1,5.5,0.5,1.2,7.6
2014-15,Danny Green,G,0.679,2.5,5.3,1.4,1.6,7.1
2014-15,Dante Cunningham,F,0.561,1.1,5.6,0.8,1,0.2
2014-15,Dante Exum,G,0.463,3.9,2.6,0.3,0.8,5.2
2014-15,Darrell Arthur,F,0.379,2.1,6.2,0.9,1.7,4
2014-15,Darren Collison,G,0.356,5.8,3.3,0.3,1.5,3.7
2014-15,David Lee,F,0.755,3.4,10.2,1,1.2,0.1
2014-15,David West,F,0.485,4.2,8.5,0.9,0.9,0.4
2014-15,DeAndre Jordan,C,0.683,0.8,15.7,2.3,1,0.1
2014-15,DeMar DeRozan,G,0.617,3.6,4.7,0.2,1.3,1.5
2014-15,DeMarcus Cousins,C,0.39,3.8,13.4,1.8,1.6,0.1
2014-15,DeMarre Carroll,F,0.757,1.9,6.1,0.3,1.5,5
2014-15,Dennis Schroder,G,0.74,7.5,3.9,0.1,1.2,3.5
2014-15,Deron Williams,G,0.5,7.6,4,0.3,1.1,4
2014-15,Derrick Favors,F,0.446,1.8,9.6,1.9,0.9,0.1
2014-15,Derrick Rose,G,0.647,5.9,3.8,0.4,0.8,6.4
2014-15,Derrick Williams,F,0.365,1.2,5,0.1,0.8,3.8
2014-15,Devin Harris,G,0.592,5.1,2.9,0.3,1.7,5.7
2014-15,Devyn Marble,F,0.188,2.9,5.4,0.3,1.6,3.8
2014-15,Dewayne Dedmon,C,0.288,0.4,12.6,2.1,0.7,0
2014-15,Dion Waiters,G,0.575,2.7,3.1,0.3,1.5,4
2014-15,Dirk Nowitzki,F,0.61,2.3,7.2,0.5,0.6,4.3
2014-15,Donald Sloan,G,0.415,6.2,4.7,0,0.7,4.3
2014-15,Donatas Motiejunas,F,0.676,2.3,7.4,0.6,1,2.4
2014-15,Dorell Wright,F,0.583,2.5,6.7,0.7,1.2,6.6
2014-15,Doug McDermott,F,0.639,0.7,4.8,0.1,0.4,4.6
2014-15,Draymond Green,F,0.81,4.2,9.4,1.4,1.8,4.8
2014-15,Drew Gooden,F,0.608,2,9.3,0.4,0.9,2.5
2014-15,Dwight Howard,C,0.707,1.5,12.7,1.6,0.8,0.1
2014-15,Dwight Powell,F,0.379,1.4,7.6,0.9,1.4,1.7
2014-15,Dwyane Wade,G,0.452,5.5,4,0.4,1.3,1.9
2014-15,E'Twaun Moore,G,0.643,2.4,3.3,0.4,1.4,2.7
2014-15,Ed Davis,F,0.253,1.8,11.7,1.9,1,0
2014-15,Elfrid Payton,G,0.305,7.7,5,0.3,2.1,0.6
2014-15,Elton Brand,F,0.694,1.6,7.4,1.9,1.3,0.1
2014-15,Enes Kanter,C,0.427,0.9,11.3,0.5,0.6,0.8
